,Accident_Severity,light_Darkness - lights lit,light_Darkness - no lighting,light_Daylight,road_Dual carriageway,road_On/off ramp,road_One way street,road_Roundabout,road_Single carriageway,speed_Over 40 km/s,speed_Under 40 km/s,area_Rural,area_Urban,age_Adolescent,age_Adult,age_Senior,vehicle_Bike,vehicle_Car,vehicle_Goods,vehicle_Motorcycle
357,Fatal,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1
6695,Fatal,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
6715,Fatal,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0
6742,Fatal,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
6751,Fatal,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
6753,Fatal,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0
6816,Fatal,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0
6817,Fatal,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0
6822,Fatal,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
6843,Fatal,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
6859,Fatal,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0
6861,Fatal,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
6862,Fatal,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
6863,Fatal,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
6868,Fatal,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
6883,Fatal,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0
6885,Fatal,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0
6902,Fatal,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
6920,Fatal,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
6930,Fatal,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
6931,Fatal,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
6933,Fatal,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
